symbol, name, sector, price, day_open_price, day_previous_close_price, volume, value_lakhs, vwap, beta, day_high_price, day_low_price, uc_limit, lc_limit, week_52_high, week_52_low, ttm_eps, ttm_pe, sector_pe, sector_pb, sector_dividend_yield, book_value_per_share, pb, face_value, market_cap_crores, dividend_yeild, avg_volume_20D, avg_delivery_percent_20D, tt_intrinsic_value_commentary, tt_returns_vs_fd_rates_commentary, tt_dividend_returns_commentary, tt_entry_pont_commentary, tt_red_flags_commentary
ACC, ACC Ltd., Cement - Major, 2310.40, 2280.00, 2296.05, 282990.0, 6538.20, 2307.64, 0.83, 2326.30, 2272.45, 2525.65, 2066.45, 2589.00, 1485.00, 109.41, 21.12, 39.12, 3.56, 1.23%, 676.41, 3.42, 10, 43386, 0.61, 295239.0, 37.8, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
ALKEM, Alkem Laboratories Ltd., Pharmaceuticals, 3454.25, 3440.00, 3440.00, 45376.0, 1567.40, 3456.30, 0.28, 3482.15, 3429.40, 3784.00, 3096.00, 4070.00, 2540.05, 142.46, 24.25, 37.34, 5.24, 0.62%, 632.03, 5.47, 2, 41300, 0.87, 177160.0, 49.92, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
AUROPHARMA, Aurobindo Pharma Ltd., Pharmaceuticals, 704.50, 694.80, 693.20, 1906350.0, 13430.24, 706.58, 0.63, 715.00, 692.25, 762.50, 623.90, 1063.90, 620.50, 89.00, 7.92, 37.34, 5.24, 0.62%, 374.25, 1.89, 1, 41279, 0.57, 2144509.0, 38.08, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
AXISBANK, Axis Bank Ltd., Banks - Private Sector, 707.60, 701.00, 704.00, 3847705.0, 27226.36, 704.11, 1.28, 709.50, 697.60, 774.40, 633.60, 866.90, 568.40, 32.61, 21.70, 30.47, 2.43, 0.59%, 338.28, 2.10, 2, 217058, 0, 12513642.0, 57.45, "Current price is less than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BAJAJ-AUTO, Bajaj Auto Ltd., Auto - 2 & 3 Wheelers, 3289.75, 3300.00, 3305.45, 83664.0, 2752.34, 3282.28, 0.69, 3305.00, 3268.00, 3635.95, 2974.95, 4361.40, 3172.00, 223.85, 14.70, 22.63, 5.48, 0.65%, 942.52, 3.50, 10, 95194, 4.26, 389355.0, 55.43, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BAJFINANCE, Bajaj Finance Ltd., Finance - Leasing & Hire Purchase, 7105.00, 7180.00, 7218.75, 709371.0, 50400.81, 7092.41, 1.32, 7180.00, 7035.00, 7940.60, 6496.90, 8050.00, 4362.00, 82.44, 86.18, 54.47, 2.43, 0.59%, 606.63, 11.72, 2, 428853, 0.14, 1091447.0, 33.86, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BANDHANBNK, Bandhan Bank Ltd., Banks - Private Sector, 279.95, 280.95, 282.25, 2659741.0, 7445.94, 279.04, 1.18, 280.95, 276.65, 310.45, 254.05, 429.25, 259.25, -11.80, 0, 30.47, 2.43, 0.59%, 108.08, 2.60, 10, 45092, 0, 6268074.0, 32.49, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BANKBARODA, Bank Of Baroda, Banks - Public Sector, 92.60, 92.30, 93.15, 11602567.0, 10743.98, 92.10, 1.43, 93.05, 91.00, 102.45, 83.85, 108.00, 56.20, 7.51, 12.33, 20.96, 2.43, 0.59%, 160.16, 0.58, 2, 47886, 0, 31178182.0, 24.19, "Current price is less than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BATAINDIA, Bata India Ltd., Leather Products, 1948.75, 1996.30, 2000.65, 322934.0, 6293.18, 1958.16, 0.91, 2005.95, 1942.70, 2200.70, 1800.60, 2262.00, 1263.60, 1.84, 1059.10, 111.48, 5.48, 0.65%, 136.79, 14.25, 5, 25046, 0.21, 491917.0, 31.31, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BPCL, Bharat Petroleum Corporation Ltd., Refineries, 390.50, 392.95, 392.35, 2135666.0, 8339.78, 390.49, 0.81, 392.95, 389.10, 431.55, 353.15, 503.00, 357.00, 82.70, 4.72, 24.14, 1.81, 1.97%, 243.29, 1.61, 10, 84709, 20.23, 5036424.0, 49.02, "Insufficient Data", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
BHARTIARTL, Bharti Airtel Ltd., Telecommunications - Service, 695.60, 701.00, 703.10, 4429813.0, 30813.78, 698.65, 0.87, 706.30, 694.25, 773.40, 632.80, 781.80, 471.30, 5.42, 128.34, 43.78, 13.64, 1.30%, 191.88, 3.63, 5, 388847, 0, 11635395.0, 46.96, "Insufficient Data", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
CIPLA, Cipla Ltd., Pharmaceuticals, 896.75, 893.50, 891.30, 1875068.0, 16814.67, 900.00, 0.21, 907.85, 891.50, 980.40, 802.20, 1005.00, 738.10, 32.07, 27.96, 37.34, 5.24, 0.62%, 229.84, 3.91, 2, 72348, 0.56, 3008338.0, 29.71, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
CROMPTON, Crompton Greaves Consumer Electrical Ltd., Electricals, 415.10, 427.00, 427.00, 1262781.0, 5241.80, 417.32, 0.56, 427.00, 413.50, 469.70, 384.30, 512.80, 320.50, 10.41, 39.88, 78.77, 5.48, 0.65%, 30.75, 13.50, 2, 26069, 1.33, 1601940.0, 60.6, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
GAIL, GAIL India Ltd., Oil Drilling And Exploration, 135.70, 132.75, 133.35, 7047566.0, 9563.55, 134.20, 0.97, 135.90, 132.00, 146.65, 120.05, 171.30, 112.55, 21.15, 6.42, 14.97, 2.96, 2.49%, 119.99, 1.14, 10, 60256, 3.69, 9789636.0, 50.79, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
GICRE, General Insurance Corporation of India Ltd., Diversified, 139.85, 140.30, 138.95, 828295.0, 1158.37, 140.90, 0.40, 142.20, 138.95, 166.70, 111.20, 244.20, 116.60, 14.64, 9.55, 12.69, 2.43, 0.59%, 149.64, 0.94, 5, 24535, 0, 609785.0, 39.74, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
GRASIM, Grasim Industries Ltd., Diversified, 1722.00, 1715.00, 1732.45, 291741.0, 5023.78, 1728.44, 0.92, 1744.90, 1715.00, 1905.65, 1559.25, 1893.00, 863.35, 93.14, 18.49, 80.26, 3.56, 1.23%, 1553.94, 1.11, 2, 113346, 0.52, 876577.0, 44.1, "Current price is more than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
HCLTECH, HCL Technologies Ltd., Computers - Software, 1163.50, 1156.00, 1159.10, 932223.0, 10846.41, 1157.91, 0.82, 1164.50, 1145.50, 1275.00, 1043.20, 1377.75, 850.00, 42.51, 27.37, 41.06, 9.50, 1.03%, 221.40, 5.26, 2, 315734, 0.86, 3231796.0, 62.34, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
HEROMOTOCO, Hero Motocorp Ltd., Auto - 2 & 3 Wheelers, 2469.50, 2480.00, 2495.00, 191171.0, 4720.97, 2468.88, 0.82, 2488.00, 2460.00, 2744.50, 2245.50, 3629.05, 2408.90, 145.24, 17.00, 22.63, 5.48, 0.65%, 777.79, 3.18, 2, 49341, 4.25, 695778.0, 47.5, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
HINDPETRO, Hindustan Petroleum Corporation Ltd., Refineries, 300.75, 300.20, 299.60, 1617482.0, 4864.58, 301.02, 0.77, 303.80, 297.65, 329.55, 269.65, 354.80, 203.90, 65.96, 4.56, 24.14, 1.81, 1.97%, 268.21, 1.13, 10, 42662, 7.56, 3392942.0, 44.42, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
HINDUNILVR, Hindustan Unilever Ltd., Personal Care, 2319.80, 2305.00, 2304.35, 514502.0, 11935.42, 2314.87, 0.38, 2322.50, 2304.00, 2534.75, 2073.95, 2859.30, 2120.00, 35.76, 64.87, 64.78, 9.90, 1.75%, 202.99, 11.43, 1, 545058, 1.34, 1468223.0, 66.63, "Current price is more than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
HINDZINC, Hindustan Zinc Ltd., Metals - Non Ferrous, 343.85, 349.80, 367.95, 1642478.0, 5647.66, 346.25, 0.75, 352.05, 342.60, 419.90, 280.00, 408.60, 224.80, 20.55, 16.73, 19.48, 3.56, 1.23%, 76.47, 4.50, 2, 145287, 6.19, 1887366.0, 28.62, "Current price is less than the intrinsic value", "Stock has been generating better return on equity than bank FD", "Stock offers good dividend returns", "Not a good time to invest, stock is in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
ICICIBANK, ICICI Bank Ltd., Banks - Private Sector, 761.30, 751.05, 754.00, 10325377.0, 78607.10, 754.20, 1.42, 763.00, 746.30, 829.40, 678.60, 867.00, 488.20, 31.95, 23.83, 30.47, 2.43, 0.59%, 236.33, 3.23, 2, 528498, 0.26, 19147095.0, 61.96, "Current price is more than the intrinsic value", "Stock has not been able to generate better return on equity than bank FD", "Stock doesn't offer attractive dividend returns", "Good time to consider, as stock is not in overbought zone", "Stock not in ASM/GSM lists and not a lot of promoter holding is pledged"
